trade_id,slug,entry_time,exit_time,direction,entry_price,exit_price,position_notional,quantity,p_model_up,p_market_up,alpha,gross_pnl,fees_paid,net_pnl,gross_return_pct,net_return_pct,hold_seconds,exit_type,timestamp,capital_before,capital_after,cumulative_pnl,drawdown,drawdown_pct,trade_return,rolling_avg_return_30,rolling_win_rate_30,rolling_sharpe_30
11,btc-updown-15m-1765629000,2025-12-13T12:40:21+00:00,2025-12-13T12:40:26+00:00,DOWN,0.05,0.06,100.0,2000.0,0.895077,0.95,-0.054923,20.0,14.9616,5.0384,20.0,5.0384,5,success,2025-12-13T12:40:26+00:00,9913.752941,9918.791341,-81.208659,-94.88573499999984,-0.009475613631221898,0.050384000000000005,,,
12,btc-updown-15m-1765629000,2025-12-13T12:42:57+00:00,2025-12-13T12:43:00+00:00,DOWN,0.36,0.425,100.0,277.777778,0.595286,0.64,-0.044714,18.055556,9.4955,8.560056,18.0556,8.5601,1,success,2025-12-13T12:43:00+00:00,9918.791341,9927.351397,-72.648603,-86.32567899999958,-0.00862077719750902,0.08560055999999999,,,
13,btc-updown-15m-1765629000,2025-12-13T12:43:42+00:00,2025-12-13T12:43:44+00:00,DOWN,0.525,0.585,100.0,190.47619,0.419329,0.475,-0.055671,11.428571,6.749486,4.679086,11.4286,4.6791,1,success,2025-12-13T12:43:44+00:00,9927.351397,9932.030483,-67.969517,-81.64659299999948,-0.008153507685571734,0.04679086,,,
14,btc-updown-15m-1765629000,2025-12-13T12:44:19+00:00,2025-12-13T12:44:21+00:00,DOWN,0.815,0.645,100.0,122.699387,0.144095,0.185,-0.040905,-20.858896,3.354847,-24.213742,-20.8589,-24.2137,1,stop_loss,2025-12-13T12:44:21+00:00,9932.030483,9907.816741,-92.18325899999999,-105.8603349999994,-0.01057157467697028,-0.24213742,,,
15,btc-updown-15m-1765630800,2025-12-13T13:14:34+00:00,2025-12-13T13:14:36+00:00,UP,0.38,0.285,100.0,263.157895,0.460609,0.38,0.080609,-25.0,8.325,-33.325,-25.0,-33.325,1,stop_loss,2025-12-13T13:14:36+00:00,9907.816741,9874.491741,-125.508259,-139.18533500000012,-0.013899523016733651,-0.33325000000000005,,,
16,btc-updown-15m-1765630800,2025-12-13T13:14:38+00:00,2025-12-13T13:14:39+00:00,UP,0.27,0.265,100.0,370.37037,0.323928,0.27,0.053928,-1.851852,10.45,-12.301852,-1.8519,-12.3019,1,stop_loss,2025-12-13T13:14:39+00:00,9874.491741,9862.189889,-137.810111,-151.48718700000063,-0.015128027981157222,-0.12301852,,,
17,btc-updown-15m-1765630800,2025-12-13T13:14:40+00:00,2025-12-13T13:14:41+00:00,UP,0.26,0.275,100.0,384.615385,0.302981,0.26,0.042981,5.769231,10.849154,-5.079923,5.7692,-5.0799,1,success,2025-12-13T13:14:41+00:00,9862.189889,9857.109966,-142.890034,-156.56710999999996,-0.015635326445192426,-0.05079923,,,
18,btc-updown-15m-1765630800,2025-12-13T13:14:42+00:00,2025-12-13T13:14:42+00:00,UP,0.235,0.235,100.0,425.531915,0.31002,0.235,0.07502,0.0,11.016,-11.016,0.0,-11.016,0,timeout,2025-12-13T13:14:42+00:00,9857.109966,9846.093966,-153.906034,-167.58310999999958,-0.016735421836365155,-0.11016,,,
19,btc-updown-15m-1765632600,2025-12-13T13:38:42+00:00,2025-12-13T13:38:54+00:00,UP,0.59,0.63,100.0,169.491525,0.636549,0.59,0.046549,6.779661,5.79661,0.983051,6.7797,0.9831,8,success,2025-12-13T13:38:54+00:00,9846.093966,9847.077017,-152.92298300000002,-166.60005900000033,-0.016637251005356898,0.00983051,,,
20,btc-updown-15m-1765632600,2025-12-13T13:44:12+00:00,2025-12-13T13:44:22+00:00,DOWN,0.21,0.19,100.0,476.190476,0.749883,0.79,-0.040117,-9.52381,10.964571,-20.488381,-9.5238,-20.4884,4,stop_loss,2025-12-13T13:44:22+00:00,9847.077017,9826.588636,-173.41136400000002,-187.08843999999954,-0.018683290721287438,-0.20488381,,,
21,btc-updown-15m-1765632600,2025-12-13T13:44:28+00:00,2025-12-13T13:44:41+00:00,UP,0.88,0.93,100.0,113.636364,0.963122,0.88,0.083122,5.681818,1.396636,4.285182,5.6818,4.2852,10,success,2025-12-13T13:44:41+00:00,9826.588636,9830.873818,-169.12618200000003,-182.80325799999991,-0.018255357808384744,0.04285182,,,
22,btc-updown-15m-1765633500,2025-12-13T13:58:40+00:00,2025-12-13T13:58:42+00:00,DOWN,0.135,0.085,100.0,740.740741,0.817931,0.865,-0.047069,-37.037037,10.376,-47.413037,-37.037,-47.413,1,stop_loss,2025-12-13T13:58:42+00:00,9830.873818,9783.460781,-216.53921900000003,-230.21629500000017,-0.02299018564836334,-0.47413037,,,
23,btc-updown-15m-1765634400,2025-12-13T14:13:26+00:00,2025-12-13T14:13:27+00:00,UP,0.74,0.685,100.0,135.135135,0.780892,0.74,0.040892,-7.432432,3.971432,-11.403865,-7.4324,-11.4039,1,stop_loss,2025-12-13T14:13:27+00:00,9783.460781,9772.056916,-227.94308400000003,-241.6201600000004,-0.024129014563401167,-0.11403864999999999,,,
24,btc-updown-15m-1765638900,2025-12-13T15:29:26+00:00,2025-12-13T15:29:29+00:00,UP,0.455,0.435,100.0,219.78022,0.504979,0.455,0.049979,-4.395604,7.813187,-12.208791,-4.3956,-12.2088,3,stop_loss,2025-12-13T15:29:29+00:00,9772.056916,9759.848125,-240.15187500000002,-253.8289509999995,-0.025348226138463856,-0.12208791,,,
25,btc-updown-15m-1765638900,2025-12-13T15:29:36+00:00,2025-12-13T15:29:37+00:00,UP,0.41,0.415,100.0,243.902439,0.454636,0.41,0.044636,1.219512,8.511366,-7.291854,1.2195,-7.2919,1,timeout,2025-12-13T15:29:37+00:00,9759.848125,9752.556271,-247.44372900000002,-261.1208050000005,-0.02607641558821928,-0.07291854,,,
26,btc-updown-15m-1765640700,2025-12-13T15:53:09+00:00,2025-12-13T15:53:11+00:00,UP,0.27,0.26,100.0,370.37037,0.360482,0.27,0.090482,-3.703704,10.386667,-14.09037,-3.7037,-14.0904,1,stop_loss,2025-12-13T15:53:11+00:00,9752.556271,9738.465901,-261.534099,-275.21117500000037,-0.02748352806978418,-0.1409037,,,
27,btc-updown-15m-1765640700,2025-12-13T15:53:12+00:00,2025-12-13T15:53:13+00:00,UP,0.26,0.275,100.0,384.615385,0.355541,0.26,0.095541,5.769231,10.849154,-5.079923,5.7692,-5.0799,1,success,2025-12-13T15:53:13+00:00,9738.465901,9733.385978,-266.61402200000003,-280.2910979999997,-0.027990826533819384,-0.05079923,,,
